area,areaid,dailydose1,dailydose2,dailydose3,daydiff,daytotal,referencedate,totaldistinctpersons,totaldose1,totaldose2,totaldose3,totalvaccinations
ΜΥΚΟΝΟΥ,1208,38,32,151,2,213,2021-12-01 00:00:00,16675,16675,16193,2896,27837
ΝΑΞΟΥ,1209,26,41,163,24,223,2021-12-01 00:00:00,15058,15058,14063,3270,29822
ΝΗΣΩΝ,906,119,84,619,-35,790,2021-12-01 00:00:00,60820,60821,57478,14297,117853
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,244,289,1332,78,1817,2021-12-01 00:00:00,349719,349724,320601,42317,703877
ΞΑΝΘΗΣ,105,222,123,498,46,814,2021-12-01 00:00:00,65727,65727,60386,9961,131073
ΠΑΡΟΥ,1210,42,25,203,50,259,2021-12-01 00:00:00,15223,15223,15293,3286,27971
ΠΕΙΡΑΙΩΣ,908,400,342,1598,327,2251,2021-12-01 00:00:00,204826,204826,189787,38573,419285
ΠΕΛΛΑΣ,204,384,323,1037,244,1678,2021-12-01 00:00:00,81695,81699,74466,20161,170550
ΠΙΕΡΙΑΣ,205,300,188,731,1,1173,2021-12-01 00:00:00,74439,74439,67906,15700,154134
ΠΡΕΒΕΖΑΣ,404,122,108,468,18,682,2021-12-01 00:00:00,37582,37582,36014,9810,80315
ΡΕΘΥΜΝΟΥ,1303,165,82,484,31,702,2021-12-01 00:00:00,55453,55453,52160,10590,113103
ΡΟΔΟΠΗΣ,106,160,103,472,32,702,2021-12-01 00:00:00,68315,68315,64881,9708,137051
ΡΟΔΟΥ,1211,152,123,660,49,912,2021-12-01 00:00:00,88152,88152,84587,13759,164319
ΣΑΜΟΥ,1104,68,75,186,-61,307,2021-12-01 00:00:00,20917,20917,19956,4050,41610
ΣΕΡΡΩΝ,206,266,184,1060,-54,1483,2021-12-01 00:00:00,86645,86646,79848,21181,182706
ΣΠΟΡΑΔΩΝ,504,13,5,56,-99,70,2021-12-01 00:00:00,10271,10271,9795,2509,21059
ΣΥΡΟΥ,1212,46,49,139,21,216,2021-12-01 00:00:00,17913,17913,18013,4445,33927
ΤΗΝΟΥ,1213,5,1,90,-12,96,2021-12-01 00:00:00,6874,6874,6637,981,13655
ΤΡΙΚΑΛΩΝ,505,152,166,861,31,1152,2021-12-01 00:00:00,75763,75763,72527,17073,160636
ΦΘΙΩΤΙΔΑΣ,804,244,242,980,75,1410,2021-12-01 00:00:00,87073,87073,82187,19441,184368
ΦΛΩΡΙΝΑΣ,304,106,77,365,2,532,2021-12-01 00:00:00,31128,31128,28811,7981,65664
ΦΩΚΙΔΑΣ,805,28,40,162,-84,228,2021-12-01 00:00:00,19113,19113,17894,4560,39479
ΧΑΛΚΙΔΙΚΗΣ,207,137,125,650,36,894,2021-12-01 00:00:00,65958,65958,62360,14094,138256
ΧΑΝΙΩΝ,1304,214,265,981,-42,1408,2021-12-01 00:00:00,112984,112985,106206,20222,233559
ΧΙΟΥ,1105,62,36,407,53,501,2021-12-01 00:00:00,38936,38938,37474,8712,77039
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,1254,472,0,-49,1726,2021-05-20 00:00:00,48376,48376,20588,0,67862
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,1369,849,0,-20,2218,2021-05-20 00:00:00,76996,76998,38949,0,115348
ΑΝΔΡΟΥ,1201,178,38,0,-7,216,2021-05-20 00:00:00,4334,4334,1875,0,6209
ΑΡΓΟΛΙΔΑΣ,1001,579,199,0,-4,778,2021-05-20 00:00:00,27257,27257,15630,0,41728
ΑΡΚΑΔΙΑΣ,1002,466,150,0,2,616,2021-05-20 00:00:00,22878,22878,11019,0,33313
ΑΡΤΑΣ,401,334,103,0,2,437,2021-05-20 00:00:00,15726,15726,9957,0,25098
ΑΧΑΪΑΣ,702,1820,912,0,6,2732,2021-05-20 00:00:00,79867,79867,41350,0,119069
ΒΟΙΩΤΙΑΣ,801,768,312,0,10,1080,2021-05-20 00:00:00,34343,34343,18191,0,51521
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,5961,3451,0,274,9385,2021-05-20 00:00:00,310411,310414,175374,0,483364
ΓΡΕΒΕΝΩΝ,301,199,62,0,10,261,2021-05-20 00:00:00,9500,9500,7136,0,16136
ΔΡΑΜΑΣ,101,518,189,0,28,707,2021-05-20 00:00:00,22261,22261,13781,0,35483
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,433,210,0,5,643,2021-05-20 00:00:00,22473,22474,14555,0,37029
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,6473,1066,0,338,7539,2021-05-20 00:00:00,169467,169468,73655,0,241953
ΕΒΡΟΥ,102,964,368,0,70,1332,2021-05-20 00:00:00,38099,38100,23209,0,60108
ΕΥΒΟΙΑΣ,802,1069,347,0,-126,1416,2021-05-20 00:00:00,49497,49498,30390,0,78500
ΕΥΡΥΤΑΝΙΑΣ,803,68,31,0,1,99,2021-05-20 00:00:00,4199,4199,3325,0,7049
ΖΑΚΥΝΘΟΥ,601,487,288,0,-40,558,2021-05-20 00:00:00,11964,11964,6620,0,17288
ΗΛΕΙΑΣ,703,892,343,0,-51,1235,2021-05-20 00:00:00,37681,37681,19723,0,56265
ΗΜΑΘΙΑΣ,201,707,304,0,10,1011,2021-05-20 00:00:00,33184,33184,20300,0,52554
ΗΡΑΚΛΕΙΟΥ,1301,1945,499,0,-23,2444,2021-05-20 00:00:00,76977,76977,39180,0,114993
ΘΑΣΟΥ,103,254,131,0,10,312,2021-05-20 00:00:00,5564,5565,3641,0,8897
ΘΕΣΠΡΩΤΙΑΣ,402,355,122,0,-18,477,2021-05-20 00:00:00,16337,16337,11911,0,27648
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,6405,4833,0,159,11238,2021-05-20 00:00:00,340848,340853,204756,0,541752
ΘΗΡΑΣ,1202,370,245,0,-21,395,2021-05-20 00:00:00,7653,7653,5778,0,11807
ΙΘΑΚΗΣ,602,23,20,0,1,43,2021-05-20 00:00:00,1933,1933,1632,0,3565
ΙΚΑΡΙΑΣ,1101,61,45,0,-164,106,2021-05-20 00:00:00,4591,4591,2668,0,7259
ΙΩΑΝΝΙΝΩΝ,403,1067,370,0,5,1437,2021-05-20 00:00:00,48545,48546,26707,0,74069
ΚΑΒΑΛΑΣ,104,775,188,0,-2,963,2021-05-20 00:00:00,31377,31377,18082,0,48889
ΚΑΛΥΜΝΟΥ,1203,349,449,0,3,533,2021-05-20 00:00:00,9319,9319,7375,0,15164
ΚΑΡΔΙΤΣΑΣ,501,581,365,0,21,946,2021-05-20 00:00:00,31528,31528,15210,0,46159
ΚΑΡΠΑΘΟΥ,1204,49,75,0,-44,124,2021-05-20 00:00:00,3888,3888,2367,0,6255
ΚΑΣΤΟΡΙΑΣ,302,380,125,0,-30,505,2021-05-20 00:00:00,16881,16881,11397,0,27798
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,44,6,0,-60,50,2021-05-20 00:00:00,2992,2992,2032,0,5024
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,4880,3454,0,-529,8334,2021-05-20 00:00:00,340543,340546,227071,0,560131
ΚΕΡΚΥΡΑΣ,603,1038,403,0,-89,1217,2021-05-20 00:00:00,31477,31477,17398,0,47272
ΚΕΦΑΛΛΗΝΙΑΣ,604,463,210,0,15,534,2021-05-20 00:00:00,12116,12116,8248,0,19366
ΚΙΛΚΙΣ,203,496,125,0,-51,621,2021-05-20 00:00:00,21964,21964,14927,0,36086
ΚΟΖΑΝΗΣ,303,856,365,0,46,1221,2021-05-20 00:00:00,38568,38568,24008,0,61391
ΚΟΡΙΝΘΙΑΣ,1003,788,446,0,-11,1234,2021-05-20 00:00:00,35008,35008,16220,0,50653
ΚΩ,1206,311,217,0,-206,398,2021-05-20 00:00:00,9767,9767,6947,0,15588
ΛΑΚΩΝΙΑΣ,1004,486,199,0,11,685,2021-05-20 00:00:00,22156,22156,12891,0,33937
ΛΑΡΙΣΑΣ,502,1636,664,0,-32,2300,2021-05-20 00:00:00,67319,67319,34287,0,100453
ΛΑΣΙΘΙΟΥ,1302,590,129,0,39,719,2021-05-20 00:00:00,25946,25946,19147,0,43190
ΛΕΣΒΟΥ,1102,534,374,0,-29,726,2021-05-20 00:00:00,20023,20023,13349,0,31847
ΛΕΥΚΑΔΑΣ,605,315,245,0,12,399,2021-05-20 00:00:00,8900,8900,5382,0,13242
ΛΗΜΝΟΥ,1103,215,136,0,-6,248,2021-05-20 00:00:00,5692,5692,3530,0,8591
ΜΑΓΝΗΣΙΑΣ,503,1167,555,0,-47,1722,2021-05-20 00:00:00,47056,47056,25019,0,71495
ΜΕΣΣΗΝΙΑΣ,1005,1027,352,0,-59,1379,2021-05-20 00:00:00,41158,41158,22770,0,62784
ΜΗΛΟΥ,1207,155,64,0,-10,219,2021-05-20 00:00:00,7045,7045,4152,0,11197
ΜΥΚΟΝΟΥ,1208,227,148,0,-10,229,2021-05-20 00:00:00,2633,2633,2037,0,4059
ΝΑΞΟΥ,1209,254,94,0,-49,268,2021-05-20 00:00:00,6219,6219,3982,0,9886
ΝΗΣΩΝ,906,808,579,0,-185,1160,2021-05-20 00:00:00,24186,24187,18039,0,41306
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,4511,1889,0,284,6400,2021-05-20 00:00:00,141752,141754,53258,0,194427
ΞΑΝΘΗΣ,105,601,190,0,88,791,2021-05-20 00:00:00,22817,22817,13080,0,35332
ΠΑΡΟΥ,1210,268,242,0,9,351,2021-05-20 00:00:00,4089,4089,2966,0,6422
ΠΕΙΡΑΙΩΣ,908,1327,912,0,4,2239,2021-05-20 00:00:00,89585,89585,57505,0,145956
ΠΕΛΛΑΣ,204,766,459,0,-26,1225,2021-05-20 00:00:00,37272,37273,28470,0,64783
ΠΙΕΡΙΑΣ,205,723,277,0,38,1000,2021-05-20 00:00:00,29729,29729,20639,0,49788
ΠΡΕΒΕΖΑΣ,404,351,146,0,-33,497,2021-05-20 00:00:00,18016,18016,8139,0,25565
ΡΕΘΥΜΝΟΥ,1303,496,140,0,-8,636,2021-05-20 00:00:00,21449,21449,13962,0,34826
ΡΟΔΟΠΗΣ,106,575,199,0,0,774,2021-05-20 00:00:00,22856,22856,12690,0,34966
ΡΟΔΟΥ,1211,1194,846,0,-26,1416,2021-05-20 00:00:00,26598,26598,14478,0,37841
ΣΑΜΟΥ,1104,278,199,0,3,352,2021-05-20 00:00:00,7490,7490,4429,0,11509
ΣΕΡΡΩΝ,206,934,308,0,19,1242,2021-05-20 00:00:00,37616,37617,19991,0,57018
ΣΠΟΡΑΔΩΝ,504,133,111,0,-37,244,2021-05-20 00:00:00,6099,6099,3354,0,9453
ΣΥΡΟΥ,1212,298,277,0,-29,340,2021-05-20 00:00:00,6750,6750,4235,0,9630
ΤΗΝΟΥ,1213,168,24,0,-54,192,2021-05-20 00:00:00,3869,3869,1711,0,5580
ΤΡΙΚΑΛΩΝ,505,595,344,0,-18,939,2021-05-20 00:00:00,32695,32695,17629,0,49747
ΦΘΙΩΤΙΔΑΣ,804,806,413,0,-40,1219,2021-05-20 00:00:00,37549,37549,20165,0,57115
ΦΛΩΡΙΝΑΣ,304,335,198,0,8,533,2021-05-20 00:00:00,15067,15067,11086,0,25823
ΦΩΚΙΔΑΣ,805,248,74,0,7,322,2021-05-20 00:00:00,9300,9300,5378,0,14178
ΧΑΛΚΙΔΙΚΗΣ,207,744,212,0,-82,956,2021-05-20 00:00:00,28445,28445,17081,0,44962
ΧΑΝΙΩΝ,1304,1262,341,0,7,1603,2021-05-20 00:00:00,46576,46576,28291,0,74278
ΧΙΟΥ,1105,471,279,0,6,547,2021-05-20 00:00:00,14359,14360,7090,0,19910
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,1336,354,0,-36,1690,2021-05-21 00:00:00,49712,49712,20942,0,69552
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,1473,614,0,-131,2087,2021-05-21 00:00:00,78469,78471,39563,0,117435
ΑΝΔΡΟΥ,1201,173,38,0,-5,211,2021-05-21 00:00:00,4507,4507,1913,0,6420
ΑΡΓΟΛΙΔΑΣ,1001,675,99,0,-4,774,2021-05-21 00:00:00,27932,27932,15729,0,42502
ΑΡΚΑΔΙΑΣ,1002,509,75,0,-32,584,2021-05-21 00:00:00,23387,23387,11094,0,33897
ΑΡΤΑΣ,401,380,42,0,-15,422,2021-05-21 00:00:00,16106,16106,9999,0,25520
ΑΧΑΪΑΣ,702,2000,654,0,-78,2654,2021-05-21 00:00:00,81867,81867,42004,0,121723
ΒΟΙΩΤΙΑΣ,801,818,245,0,-17,1063,2021-05-21 00:00:00,35161,35161,18436,0,52584
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,6073,2985,0,-349,9036,2021-05-21 00:00:00,316484,316487,178359,0,492400
ΓΡΕΒΕΝΩΝ,301,236,37,0,12,273,2021-05-21 00:00:00,9736,9736,7173,0,16409
ΔΡΑΜΑΣ,101,549,132,0,-26,681,2021-05-21 00:00:00,22810,22810,13913,0,36164
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,449,173,0,-21,622,2021-05-21 00:00:00,22922,22923,14728,0,37651
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,6216,754,0,-569,6970,2021-05-21 00:00:00,175683,175684,74409,0,248923
ΕΒΡΟΥ,102,932,268,0,-132,1200,2021-05-21 00:00:00,39031,39032,23477,0,61308
ΕΥΒΟΙΑΣ,802,1137,223,0,-56,1360,2021-05-21 00:00:00,50634,50635,30613,0,79860
ΕΥΡΥΤΑΝΙΑΣ,803,72,10,0,-17,82,2021-05-21 00:00:00,4271,4271,3335,0,7131
ΖΑΚΥΝΘΟΥ,601,531,302,0,45,603,2021-05-21 00:00:00,12495,12495,6922,0,17891
ΗΛΕΙΑΣ,703,951,226,0,-58,1177,2021-05-21 00:00:00,38632,38632,19949,0,57442
ΗΜΑΘΙΑΣ,201,788,135,0,-88,923,2021-05-21 00:00:00,33972,33972,20435,0,53477
ΗΡΑΚΛΕΙΟΥ,1301,2065,359,0,-20,2424,2021-05-21 00:00:00,79042,79042,39539,0,117417
ΘΑΣΟΥ,103,299,84,0,-6,306,2021-05-21 00:00:00,5863,5864,3725,0,9203
ΘΕΣΠΡΩΤΙΑΣ,402,392,80,0,-5,472,2021-05-21 00:00:00,16729,16729,11991,0,28120
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,7269,3802,0,-167,11071,2021-05-21 00:00:00,348117,348122,208558,0,552823
ΘΗΡΑΣ,1202,407,252,0,39,434,2021-05-21 00:00:00,8060,8060,6030,0,12241
ΙΘΑΚΗΣ,602,0,0,0,-43,0,2021-05-21 00:00:00,1933,1933,1632,0,3565
ΙΚΑΡΙΑΣ,1101,19,77,0,-10,96,2021-05-21 00:00:00,4610,4610,2745,0,7355
ΙΩΑΝΝΙΝΩΝ,403,1229,168,0,-40,1397,2021-05-21 00:00:00,49774,49775,26875,0,75466
ΚΑΒΑΛΑΣ,104,814,120,0,-29,934,2021-05-21 00:00:00,32191,32191,18202,0,49823
ΚΑΛΥΜΝΟΥ,1203,478,304,0,-31,502,2021-05-21 00:00:00,9797,9797,7679,0,15666
ΚΑΡΔΙΤΣΑΣ,501,653,191,0,-102,844,2021-05-21 00:00:00,32181,32181,15401,0,47003
ΚΑΡΠΑΘΟΥ,1204,27,3,0,-94,30,2021-05-21 00:00:00,3915,3915,2370,0,6285
ΚΑΣΤΟΡΙΑΣ,302,447,86,0,28,533,2021-05-21 00:00:00,17328,17328,11483,0,28331
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,40,2,0,-8,42,2021-05-21 00:00:00,3032,3032,2034,0,5066
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,6568,2166,0,392,8726,2021-05-21 00:00:00,347111,347114,229237,0,568857
ΚΕΡΚΥΡΑΣ,603,1066,333,0,-54,1163,2021-05-21 00:00:00,32543,32543,17731,0,48435
ΚΕΦΑΛΛΗΝΙΑΣ,604,430,181,0,-67,467,2021-05-21 00:00:00,12546,12546,8429,0,19833
ΚΙΛΚΙΣ,203,476,88,0,-57,564,2021-05-21 00:00:00,22440,22440,15015,0,36650
ΚΟΖΑΝΗΣ,303,933,226,0,-62,1159,2021-05-21 00:00:00,39501,39501,24234,0,62550
ΚΟΡΙΝΘΙΑΣ,1003,824,364,0,-46,1188,2021-05-21 00:00:00,35832,35832,16584,0,51841
ΚΩ,1206,353,193,0,6,404,2021-05-21 00:00:00,10120,10120,7140,0,15992
ΛΑΚΩΝΙΑΣ,1004,535,141,0,-9,676,2021-05-21 00:00:00,22691,22691,13032,0,34613
ΛΑΡΙΣΑΣ,502,1786,477,0,-37,2263,2021-05-21 00:00:00,69105,69105,34764,0,102716
ΛΑΣΙΘΙΟΥ,1302,605,72,0,-42,677,2021-05-21 00:00:00,26551,26551,19219,0,43867
ΛΕΣΒΟΥ,1102,667,355,0,66,792,2021-05-21 00:00:00,20690,20690,13704,0,32639
ΛΕΥΚΑΔΑΣ,605,321,209,0,-24,375,2021-05-21 00:00:00,9221,9221,5591,0,13617
ΛΗΜΝΟΥ,1103,244,126,0,9,257,2021-05-21 00:00:00,5936,5936,3656,0,8848
ΜΑΓΝΗΣΙΑΣ,503,1291,416,0,-15,1707,2021-05-21 00:00:00,48347,48347,25435,0,73202
ΜΕΣΣΗΝΙΑΣ,1005,1099,211,0,-70,1309,2021-05-21 00:00:00,42257,42257,22981,0,64093
ΜΗΛΟΥ,1207,144,70,0,-5,214,2021-05-21 00:00:00,7189,7189,4222,0,11411
ΜΥΚΟΝΟΥ,1208,423,346,0,195,424,2021-05-21 00:00:00,3056,3056,2383,0,4483
ΝΑΞΟΥ,1209,276,86,0,15,283,2021-05-21 00:00:00,6495,6495,4068,0,10169
ΝΗΣΩΝ,906,868,416,0,-113,1047,2021-05-21 00:00:00,25054,25055,18455,0,42353
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,4428,1708,0,-264,6136,2021-05-21 00:00:00,146180,146182,54966,0,200563
ΞΑΝΘΗΣ,105,665,123,0,-3,788,2021-05-21 00:00:00,23482,23482,13203,0,36120
ΠΑΡΟΥ,1210,236,168,0,-104,247,2021-05-21 00:00:00,4325,4325,3134,0,6669
ΠΕΙΡΑΙΩΣ,908,1541,629,0,-69,2170,2021-05-21 00:00:00,91126,91126,58134,0,148126
ΠΕΛΛΑΣ,204,970,231,0,-24,1201,2021-05-21 00:00:00,38242,38243,28701,0,65984
ΠΙΕΡΙΑΣ,205,840,109,0,-51,949,2021-05-21 00:00:00,30569,30569,20748,0,50737
ΠΡΕΒΕΖΑΣ,404,380,104,0,-13,484,2021-05-21 00:00:00,18396,18396,8243,0,26049
ΡΕΘΥΜΝΟΥ,1303,516,122,0,2,638,2021-05-21 00:00:00,21965,21965,14084,0,35464
ΡΟΔΟΠΗΣ,106,612,150,0,-12,762,2021-05-21 00:00:00,23468,23468,12840,0,35728
ΡΟΔΟΥ,1211,1238,744,0,-52,1364,2021-05-21 00:00:00,27836,27836,15222,0,39205
ΣΑΜΟΥ,1104,294,171,0,-7,345,2021-05-21 00:00:00,7784,7784,4600,0,11854
ΣΕΡΡΩΝ,206,952,246,0,-44,1198,2021-05-21 00:00:00,38568,38569,20237,0,58216
ΣΠΟΡΑΔΩΝ,504,163,68,0,-13,231,2021-05-21 00:00:00,6262,6262,3422,0,9684
ΣΥΡΟΥ,1212,303,238,0,-9,331,2021-05-21 00:00:00,7053,7053,4473,0,9961
ΤΗΝΟΥ,1213,240,18,0,66,258,2021-05-21 00:00:00,4109,4109,1729,0,5838
ΤΡΙΚΑΛΩΝ,505,698,194,0,-47,892,2021-05-21 00:00:00,33393,33393,17823,0,50639
ΦΘΙΩΤΙΔΑΣ,804,1018,165,0,-36,1183,2021-05-21 00:00:00,38567,38567,20330,0,58298
ΦΛΩΡΙΝΑΣ,304,433,79,0,-21,512,2021-05-21 00:00:00,15500,15500,11165,0,26335
ΦΩΚΙΔΑΣ,805,250,49,0,-23,299,2021-05-21 00:00:00,9550,9550,5427,0,14477
ΧΑΛΚΙΔΙΚΗΣ,207,768,161,0,-27,929,2021-05-21 00:00:00,29213,29213,17242,0,45891
ΧΑΝΙΩΝ,1304,1316,255,0,-32,1571,2021-05-21 00:00:00,47892,47892,28546,0,75849
ΧΙΟΥ,1105,487,275,0,15,562,2021-05-21 00:00:00,14846,14847,7365,0,20472
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,1394,242,0,-54,1636,2021-05-22 00:00:00,51106,51106,21184,0,71188
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,1475,473,0,-139,1948,2021-05-22 00:00:00,79944,79946,40036,0,119383
ΑΝΔΡΟΥ,1201,81,67,0,-63,148,2021-05-22 00:00:00,4588,4588,1980,0,6568
ΑΡΓΟΛΙΔΑΣ,1001,684,106,0,16,790,2021-05-22 00:00:00,28616,28616,15835,0,43292
ΑΡΚΑΔΙΑΣ,1002,517,124,0,57,641,2021-05-22 00:00:00,23904,23904,11218,0,34538
ΑΡΤΑΣ,401,414,18,0,10,432,2021-05-22 00:00:00,16520,16520,10017,0,25952
ΑΧΑΪΑΣ,702,2112,598,0,56,2710,2021-05-22 00:00:00,83979,83979,42602,0,124433
ΒΟΙΩΤΙΑΣ,801,823,212,0,-28,1035,2021-05-22 00:00:00,35984,35984,18648,0,53619
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,6295,2920,0,175,9211,2021-05-22 00:00:00,322779,322782,181279,0,501611
ΓΡΕΒΕΝΩΝ,301,211,49,0,-13,260,2021-05-22 00:00:00,9947,9947,7222,0,16669
ΔΡΑΜΑΣ,101,587,84,0,-10,671,2021-05-22 00:00:00,23397,23397,13997,0,36835
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,487,142,0,7,629,2021-05-22 00:00:00,23409,23410,14870,0,38280
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,6670,405,0,105,7075,2021-05-22 00:00:00,182353,182354,74814,0,255998
ΕΒΡΟΥ,102,1001,202,0,3,1203,2021-05-22 00:00:00,40032,40033,23679,0,62511
ΕΥΒΟΙΑΣ,802,1329,283,0,252,1612,2021-05-22 00:00:00,51963,51964,30896,0,81472
ΕΥΡΥΤΑΝΙΑΣ,803,79,19,0,16,98,2021-05-22 00:00:00,4350,4350,3354,0,7229
ΖΑΚΥΝΘΟΥ,601,498,213,0,-72,531,2021-05-22 00:00:00,12993,12993,7135,0,18422
ΗΛΕΙΑΣ,703,1041,137,0,1,1178,2021-05-22 00:00:00,39673,39673,20086,0,58620
ΗΜΑΘΙΑΣ,201,873,117,0,67,990,2021-05-22 00:00:00,34845,34845,20552,0,54467
ΗΡΑΚΛΕΙΟΥ,1301,2071,323,0,-30,2394,2021-05-22 00:00:00,81113,81113,39862,0,119811
ΘΑΣΟΥ,103,240,85,0,-56,250,2021-05-22 00:00:00,6103,6104,3810,0,9453
ΘΕΣΠΡΩΤΙΑΣ,402,397,74,0,-1,471,2021-05-22 00:00:00,17126,17126,12065,0,28591
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,7517,3694,0,140,11211,2021-05-22 00:00:00,355633,355639,212252,0,564034
ΘΗΡΑΣ,1202,314,290,0,-120,314,2021-05-22 00:00:00,8374,8374,6320,0,12555
ΙΘΑΚΗΣ,602,0,0,0,0,0,2021-05-22 00:00:00,1933,1933,1632,0,3565
ΙΚΑΡΙΑΣ,1101,7,93,0,4,100,2021-05-22 00:00:00,4617,4617,2838,0,7455
ΙΩΑΝΝΙΝΩΝ,403,1195,169,0,-33,1364,2021-05-22 00:00:00,50969,50970,27044,0,76830
ΚΑΒΑΛΑΣ,104,841,102,0,9,943,2021-05-22 00:00:00,33032,33032,18304,0,50766
ΚΑΛΥΜΝΟΥ,1203,313,178,0,-176,326,2021-05-22 00:00:00,10110,10110,7857,0,15992
ΚΑΡΔΙΤΣΑΣ,501,745,188,0,89,933,2021-05-22 00:00:00,32926,32926,15589,0,47936
ΚΑΡΠΑΘΟΥ,1204,36,3,0,9,39,2021-05-22 00:00:00,3951,3951,2373,0,6324
ΚΑΣΤΟΡΙΑΣ,302,446,87,0,0,533,2021-05-22 00:00:00,17774,17774,11570,0,28864
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,61,33,0,52,94,2021-05-22 00:00:00,3093,3093,2067,0,5160
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,7345,1638,0,255,8981,2021-05-22 00:00:00,354455,354459,230875,0,577838
ΚΕΡΚΥΡΑΣ,603,1080,384,0,72,1235,2021-05-22 00:00:00,33623,33623,18115,0,49670
ΚΕΦΑΛΛΗΝΙΑΣ,604,417,194,0,6,473,2021-05-22 00:00:00,12963,12963,8623,0,20306
ΚΙΛΚΙΣ,203,472,55,0,-37,527,2021-05-22 00:00:00,22912,22912,15070,0,37177
ΚΟΖΑΝΗΣ,303,945,197,0,-17,1142,2021-05-22 00:00:00,40446,40446,24431,0,63692
ΚΟΡΙΝΘΙΑΣ,1003,893,240,0,-55,1133,2021-05-22 00:00:00,36725,36725,16824,0,52974
ΚΩ,1206,253,60,0,-101,303,2021-05-22 00:00:00,10373,10373,7200,0,16295
ΛΑΚΩΝΙΑΣ,1004,546,112,0,-18,658,2021-05-22 00:00:00,23237,23237,13144,0,35271
ΛΑΡΙΣΑΣ,502,1848,308,0,-107,2156,2021-05-22 00:00:00,70953,70953,35072,0,104872
ΛΑΣΙΘΙΟΥ,1302,613,74,0,10,687,2021-05-22 00:00:00,27164,27164,19293,0,44554
ΛΕΣΒΟΥ,1102,697,305,0,-19,773,2021-05-22 00:00:00,21387,21387,14009,0,33412
ΛΕΥΚΑΔΑΣ,605,318,202,0,-10,365,2021-05-22 00:00:00,9539,9539,5793,0,13982
ΛΗΜΝΟΥ,1103,255,111,0,4,261,2021-05-22 00:00:00,6191,6191,3767,0,9109
ΜΑΓΝΗΣΙΑΣ,503,1500,288,0,81,1788,2021-05-22 00:00:00,49847,49847,25723,0,74990
ΜΕΣΣΗΝΙΑΣ,1005,1222,104,0,17,1326,2021-05-22 00:00:00,43479,43479,23085,0,65419
ΜΗΛΟΥ,1207,20,4,0,-190,24,2021-05-22 00:00:00,7209,7209,4226,0,11435
ΜΥΚΟΝΟΥ,1208,409,329,0,-13,411,2021-05-22 00:00:00,3465,3465,2712,0,4894
ΝΑΞΟΥ,1209,266,242,0,154,437,2021-05-22 00:00:00,6761,6761,4310,0,10606
ΝΗΣΩΝ,906,772,370,0,-138,909,2021-05-22 00:00:00,25826,25827,18825,0,43262
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,4369,1647,0,-120,6016,2021-05-22 00:00:00,150548,150551,56613,0,206579
ΞΑΝΘΗΣ,105,701,72,0,-15,773,2021-05-22 00:00:00,24183,24183,13275,0,36893
ΠΑΡΟΥ,1210,232,193,0,23,270,2021-05-22 00:00:00,4557,4557,3327,0,6939
ΠΕΙΡΑΙΩΣ,908,1731,426,0,-13,2157,2021-05-22 00:00:00,92857,92857,58560,0,150283
ΠΕΛΛΑΣ,204,1021,196,0,16,1217,2021-05-22 00:00:00,39263,39264,28897,0,67201
ΠΙΕΡΙΑΣ,205,883,74,0,8,957,2021-05-22 00:00:00,31452,31452,20822,0,51694
